SIM_channels,HCT_12C_1,HCT_12C_2,HCT_12C_3,WiDr_12C_1,WiDr_12C_2,WiDr_12C_3,HCT_1-13C_Gluc_1,HCT_1-13C_Gluc_2,HCT_1-13C_Gluc_3,WiDr_1-13C_Gluc_1,WiDr_1-13C_Gluc_2,WiDr_1-13C_Gluc_3,HCT_U-13C_Gluc_1,HCT_U-13C_Gluc_2,HCT_U-13C_Gluc_3,WiDr_U-13C_Gluc_1,WiDr_U-13C_Gluc_2,WiDr_U-13C_Gluc_3,HCT_U-13C_GLN_1,HCT_U-13C_GLN_2,HCT_U-13C_GLN_3,WiDr_U-13C_GLN_1,WiDr_U-13C_GLN_2,WiDr_U-13C_GLN_3
Gly[M-57]_M+2,151636,161261,205787,45500,32645,83978,272726,265908,236356,122025,93475,94592,367498,342055,383494,112301,116716,118997,40828,280267,285718,137566,170663,118105
Gly[M-57]_M+3,25913,22561,32074,6733,6857,12605,38827,37424,34183,17395,13195,14224,60018,54955,59978,16348,17548,16899,6651,39887,40841,20035,24412,16729
Gly[M-57]_M+4,4793,4048,4917,1308,897,2829,6731,6748,6188,3551,2570,2300,15292,14606,16109,3342,3661,3500,1242,7113,7280,3703,4149,3161
Gly[M-57]_M+5,674,771,648,0,0,0,785,1520,2115,58,0,0,2290,1940,2464,0,0,0,473,1236,1124,510,533,0
Ser[M-57]_M+0,853329,966997,971811,548523,417605,908304,2847944,2789756,2336271,1835768,1397988,1408802,2520494,2278484,2383204,1614890,1495249,1679167,427547,2830284,2706635,2054853,2508326,1678874
Ser[M-57]_M+1,293572,334687,334765,189543,144236,313398,1110635,1083599,921053,648298,493228,497006,915230,828194,872352,561344,519504,585459,146666,977083,935954,709679,864457,578498
Ser[M-57]_M+2,136414,154921,155402,88113,67391,145303,500672,490043,413706,299078,228689,229362,441287,401153,421615,263756,245160,276467,68848,453938,434475,330049,402168,270162
Ser[M-57]_M+3,31368,35466,35744,20210,15377,33330,125213,122242,103998,70134,53431,53931,363519,331976,362405,81369,79217,87882,15706,104302,100619,75674,92622,61926
Ser[M-57]_M+4,7331,8419,8426,4775,3598,7871,28854,28408,24137,16398,12503,12706,106361,96829,105951,20927,20620,22861,3745,24281,23408,17946,21505,14132
Ser[M-57]_M+5,1207,1429,1415,745,701,1313,5010,4873,4151,2617,2057,2203,43249,39332,43103,5504,5702,6220,616,4089,3961,2974,3677,2466
Ser[M-57]_M+6,266,221,287,160,110,260,851,763,816,469,383,321,9665,8928,9705,1196,1211,1227,159,697,673,386,512,370
3PG[M-57]_M+0,7630,15043,21120,9358,7813,24040,16571,12782,13982,14469,12000,10879,0,0,0,0,0,0,11036,26889,28277,32001,29076,25112
3PG[M-57]_M+1,3395,6875,9628,3991,3565,11584,23975,18711,20618,20488,17521,14915,0,0,0,0,0,0,5303,12569,13633,15117,13436,11181
3PG[M-57]_M+2,1885,3701,5258,2505,2063,6171,11264,9120,9722,9984,8608,7093,651,654,732,522,642,478,2948,7028,7010,8006,7267,6360
3PG[M-57]_M+3,503,1091,1659,588,594,1904,5192,4024,4276,4476,3714,3477,35517,30475,37010,23464,31004,26351,830,2237,2017,2621,2313,1895
3PG[M-57]_M+4,215,383,556,212,170,490,1664,1396,1309,1408,1203,1016,15298,10702,15823,10315,12505,11359,442,660,753,585,833,633
3PG[M-57]_M+5,0,0,0,0,0,78,347,282,352,315,357,215,8402,6859,8447,5623,7197,6178,329,0,0,0,0,0
3PG[M-57]_M+6,0,0,0,0,0,0,0,0,0,0,0,0,2943,2311,2573,1708,2519,2129,0,0,0,0,0,0
PEP[M-57]_M+0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEP[M-57]_M+1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEP[M-57]_M+2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEP[M-57]_M+3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEP[M-57]_M+4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEP[M-57]_M+5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEP[M-57]_M+6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyr[M-57]_M+0,252334,241421,267648,119774,92665,231016,238148,259874,204912,235497,178109,193983,27262,23651,28287,36379,18814,21234,92578,411437,413498,459691,563179,404299
Pyr[M-57]_M+1,29918,27090,31720,13660,11021,28047,209537,232397,184011,198964,145027,168061,4003,3422,3721,4310,2759,1955,10888,49447,50144,56025,68457,49262
Pyr[M-57]_M+2,11532,10614,11778,5417,3788,10697,31839,34685,27635,30373,22166,25274,10438,9361,10945,7453,8180,9139,4416,20443,20231,23138,27989,20165
Pyr[M-57]_M+3,806,678,778,339,464,1253,9281,9716,7913,8648,6194,6982,414539,365763,439115,276036,339355,376807,2657,10169,10553,11645,14232,10254
Pyr[M-57]_M+4,0,0,16,0,0,0,601,897,630,585,438,395,37009,32968,39533,24735,30510,33651,422,849,1006,892,1353,971
Pyr[M-57]_M+5,0,0,0,0,0,0,0,0,0,0,0,0,17365,15346,18662,11765,14373,15884,584,701,0,792,699,810
Pyr[M-57]_M+6,0,0,0,0,0,0,0,0,0,0,0,0,745,637,953,487,722,716,0,0,0,0,0,0
Lac[M-57]_M+0,12922730,11604089,13407855,5284120,3946852,9592852,6840941,7612281,5821863,5410692,3870742,4217499,839414,724494,861169,819227,572867,694146,3805941,12707630,12544662,9292010,11995999,8835206
Lac[M-57]_M+1,2896764,2607613,3015938,1181460,886034,2147189,6417230,7673569,5754115,4749480,3423029,3724212,217545,186944,224126,190419,138457,164587,852473,2871502,2836825,2065553,2643400,1970471
Lac[M-57]_M+2,1231062,1104403,1284153,500949,377001,913406,1735421,2044463,1538884,1298390,938780,1033628,372009,319517,387621,219891,204057,235705,372725,1256292,1243963,927165,1192263,879184
Lac[M-57]_M+3,181264,165481,191027,73858,55602,136379,562187,675249,504183,411946,297840,328868,12768832,10947485,13393172,6464465,6691616,7689051,125136,420367,420064,318745,416444,298261
Lac[M-57]_M+4,35469,30797,36300,14047,10684,26784,87427,103526,77200,63890,47319,52055,2487907,2118503,2597920,1248093,1293344,1486150,26160,82326,84015,65090,83076,60226
Lac[M-57]_M+5,4381,3312,3625,1437,1589,2824,14853,17562,13309,11118,8458,8893,1157960,984288,1201439,580870,600061,686772,7592,25523,25442,20527,26500,18948
Lac[M-57]_M+6,1238,1549,4178,3901,1851,3733,2940,4357,5162,2656,952,2727,146750,127941,154283,75941,77540,87366,0,9401,7766,3519,4200,5307
Cit[M-189]_M+0,168934,181034,256612,96963,78687,188552,128690,101905,118324,136971,114516,99753,58722,54374,58412,55606,64009,56810,7301,21127,21784,24574,30648,22222
Cit[M-189]_M+1,64376,68854,97663,37979,29852,72907,121458,92485,114640,113765,95706,83694,25474,24454,25869,23068,25643,23289,6283,19614,19389,15460,18662,13448
Cit[M-189]_M+2,33741,33546,46265,19437,16124,35489,57532,44611,55955,54169,46486,40339,175701,169388,187417,103164,133257,113274,14462,42592,45527,30720,35980,28565
Cit[M-189]_M+3,9700,9020,11778,4276,3728,9068,21001,17270,20121,19599,17331,14285,66155,64144,70988,38604,48313,41818,15642,45755,46429,35588,41858,31086
Cit[M-189]_M+4,2270,2487,2885,1121,1173,2014,5720,5659,6208,4976,5117,4166,54678,53147,58108,29182,39955,33687,61320,175021,181354,119868,143657,105761
Cit[M-189]_M+5,748,727,687,0,0,0,1817,1830,1292,1579,1254,1124,22568,22469,24824,14613,20404,17039,28672,82683,85562,77547,91211,66318
Cit[M-189]_M+6,0,0,568,0,0,0,0,0,0,563,820,525,9324,9625,9895,6352,9217,7830,15451,43976,45493,36156,42705,31048
